Product Description,Price(Dollar),Number of  reviews,Free days,Shipment
HP EliteBook 645 G9 14" Notebook - Full HD - 1920 x 1080 - AMD Ryzen 5 PRO 5675U Hexa-core (6 Core) 2.30 GHz - 16 GB Total RAM - 512 GB SSD,872,,90 days FREE. Terms apply.,Ships to Bangladesh
"Evoo Gaming 15.6î Laptop, FHD, 120Hz, AMD Ryzen 7 4800H Processor, NVIDIA GeForce RTX 2060, THX Spatial Audio, 512GB SSD, 16GB RAM, RGB Backlit Keyboard, HD Camera, Windows 10 Home, Black (EG-LP7-BK)",846,,90 days FREE. Terms apply.,Ships to Bangladesh
"OnePlus Pad 11.61"" LCD Display, 8GB RAM,128GB Storage, MediaTek Dimensity 9000, Android 13.1, 144HZ Refresh Rate, Dolby Vision Atmos, Wi-Fi with Cellular Data Sharing Tablet",479,10,90 days FREE. Terms apply.,Ships to Bangladesh
MSI CPROM1613845 16" I7-13700H/32/1T/A1000/W11P Laptop,"1,799",1,90 days FREE. Terms apply.,Ships to Bangladesh
Dell Latitude 5000 5330 13.3" Notebook - Full HD - 1920 x 1080 - Intel Core i7 12th Gen i7-1265U Deca-core (10 Core) 1.80 GHz - 16 GB Total RAM - 16 GB On-Board Memory - 256 GB SSD,"1,459",1,90 days FREE. Terms apply.,Ships to Bangladesh
Dell Latitude 5000 5530 15.6" Notebook - Full HD - 1920 x 1080 - Intel Core i5 12th Gen i5-1235U Deca-core (10 Core) 1.30 GHz - 8 GB Total RAM - 256 GB SSD - Gray,"1,080",1,90 days FREE. Terms apply.,Ships to Bangladesh
Lenovo ThinkBook 15 G4 IAP 21DJ00G1US 15.6" Notebook - Full HD - 1920 x 1080 - Intel Core i5 12th Gen i5-1235U Deca-core (10 Core) 1.30 GHz - 8 GB Total RAM - 8 GB On-Board Memory - 256 GB SSD -,815,4,90 days FREE. Terms apply.,Ships to Bangladesh
"Lenovo TAB M10 Plus 3RD GEN, 3/32GB, 10.6 2000X1200, 400NITS, MEDIATEK G80 Octa CORE, A",246,278,90 days FREE. Terms apply.,Ships to Bangladesh
"Acer 2022 14"" FHD IPS Chromebook, Intel Celeron Processor Up to 2.55 GHz, 4GB Ram, 64GB SSD, Ultra-Fast 6th Gen WiFi Speed, Chrome OS(Renewed) (Dale Silver)",146,5,90 days FREE. Terms apply.,Ships to Bangladesh
Lenovo ThinkBook 14 G4 IAP 21DH0075US 14" Touchscreen Notebook - Full HD - 1920 x 1080 - Intel Core i5 12th Gen i5-1240P - 16 GB Total RAM - 512 GB SSD,919,1,90 days FREE. Terms apply.,Ships to Bangladesh
Dell Latitude 5000 5530 15.6" Notebook - Full HD - 1920 x 1080 - Intel Core i7 12th Gen i7-1270P Dodeca-core (12 Core) 2.20 GHz - 16 GB Total RAM - 512 GB SSD - Gray,"1,825",10,90 days FREE. Terms apply.,Ships to Bangladesh
"ASUS ExpertBook B3 Detachable -Laptop, 10.5î WUXGA 16:10 Touchscreen,Qualcomm Snapdragon 7c Gen 2, 4GB -RAM, 128GB eMMC, All-Day -Battery, Garaged -Stylus,Stand Cover,Windows 11 Pro,B3000DQ1A-XS24T",548,,90 days FREE. Terms apply.,Ships to Bangladesh
Dell OptiPlex 7000 7400 All-in-One Computer - Intel Core i5 12th Gen i5-12500 Hexa-core (6 Core) 3 GHz - 16 GB RAM DDR4 SDRAM - 256 GB M.2 PCI Express NVMe 3.0 x4 SSD - 23.8" Full HD 1920 x 1080 -,"1,347",,90 days FREE. Terms apply.,Ships to Bangladesh
Dell Precision 5000 5760 17" Mobile Workstation - Full HD Plus - 1920 x 1200 - Intel Core i7 11th Gen i7-11850H Octa-core (8 Core) 2.50 GHz - 32 GB RAM - 512 GB SSD - Gray,"4,432",,90 days FREE. Terms apply.,Ships to Bangladesh
"ASUS 2023 15"" FHD IPS Chromebook, Intel Celeron Processor Up to 2.40GHz, 4GB Ram, 64GB SSD, 4K Graphics, Super-Fast WiFi, Chrome OS(Renewed)",189,,90 days FREE. Terms apply.,Ships to Bangladesh
Dell Latitude 7000 7430 14" Notebook - Full HD - 1920 x 1080 - Intel Core i7 12th Gen i7-1265U Deca-core (10 Core) 1.80 GHz - Intel Evo Platform - 32 GB Total RAM - 32 GB On-Board Memory - 512 GB SSD,"2,367",,90 days FREE. Terms apply.,Ships to Bangladesh
ASUS PN64-BB5000X1TD-NL I5-12500H/BT5.2/120W/3Y/BLK/BB Mini PC,448,,90 days FREE. Terms apply.,Ships to Bangladesh
Intel NUC 10 Performance NUC10i5FNHN Desktop Computer Core i5 10th Gen i5-10210U Quad-core (4 Core) 1.60 GHz DDR4 SDRAM - Mini PC,420,,90 days FREE. Terms apply.,Ships to Bangladesh
Lenovo ThinkPad E15 Gen 4 21E6007DUS 15.6" Notebook - Full HD - 1920 x 1080 - Intel Core i5 12th Gen i5-1235U Deca-core (10 Core) 1.30 GHz - 16 GB Total RAM - 8 GB On-Board Memory - 256 GB SSD -,941,,90 days FREE. Terms apply.,Ships to Bangladesh
"ASUS Chromebook Flip C302 2-In-1 Laptop- 12.5î Full HD 4-Way NanoEdge Touchscreen, Intel Core M5, 4GB RAM, 64GB Flash Storage, All-Metal Body, Backlit Keyboard, Chrome OS- C302CA-DH54 Silver",516,,90 days FREE. Terms apply.,Ships to Bangladesh
"SAMSUNG 2022 Galaxy Book Odyssey 15.6"" FHD Laptop Computer, Intel Quard-Core i7 11600H, 16GB DDR4 RAM, 1TB PCIe SSD, GeForce RTX 3050 Ti, WiFi 6, BT 5.1, Backlit KB, Fingerprint Reader, Windows 11","2,478",,90 days FREE. Terms apply.,Ships to Bangladesh
HP Fortis Chromebook Enterprise G10 14-Inch Laptop - Intel Pentium Silver N6000-8 GB RAM - Chrome OS - Intel HD Graphics 400,822,,90 days FREE. Terms apply.,Ships to Bangladesh
MSI Modern 14 14" Ultra Thin and Light Professional Laptop Intel Core i3-1115G4 UMA 8GB 128GB NVMe SSD Win11 - Carbon Gray (B11MOU-1212),530,,90 days FREE. Terms apply.,Ships to Bangladesh
Dell Latitude 7000 7320 13.3" Notebook - Full HD - 1920 x 1080 - Intel Core i5 11th Gen i5-1145G7 Quad-core (4 Core) 2.60 GHz - 16 GB RAM - 256 GB SSD - Black,"1,119",,90 days FREE. Terms apply.,Ships to Bangladesh
Lenovo Tab K10 TB-X6C6F Tablet - 10.3" WUXGA - Helio P22T Octa-core (8 Core) 1.80 GHz - 4 GB RAM - 64 GB Storage - Android 11 - Abyss Blue,209,,90 days FREE. Terms apply.,Ships to Bangladesh
"MSI GS76 Stealth Gaming Laptop: 17.3"" 300Hz FHD 1080p Display, Intel Core i7-11800H, NVIDIA GeForce RTX 3080, 32GB, 1TB SSD, Thunderbolt 4, WiFi 6, Win10, Black (11UH-029)","3,099",,90 days FREE. Terms apply.,Ships to Bangladesh
"OnePlus Pad 11.61"" LCD Display, 8GB RAM,128GB Storage, MediaTek Dimensity 9000, Android 13.1, 144HZ Refresh Rate, Dolby Vision Atmos, Wi-Fi with Cellular Data Sharing Tablet",479,418,90 days FREE. Terms apply.,Ships to Bangladesh
"SkyTech Archangel Gaming Computer PC Desktop ñ Ryzen 5 3600 3.6GHz, GTX 1650 4G, 500GB SSD, 8GB DDR4 3200MHz, RGB Fans, Windows 10 Home 64-bit, 802.11AC Wi-Fi",874,4,90 days FREE. Terms apply.,Ships to Bangladesh
Lenovo ThinkStation P350 30EF0050US Workstation - 1 x Intel Core i9 Octa-core (8 Core) i9-11900T 11th Gen 1.50 GHz - 16 GB DDR4 SDRAM RAM - 512 GB SSD - Tiny - Black,"1,909",2,90 days FREE. Terms apply.,Ships to Bangladesh
"ASUS 2023 Vivobook S 16 Flip 16î Touch, AMD Ryzen 5 7530U CPU, AMD Radeon Vega 7 Graphics, 8GB RAM, 512GB SSD, Fingerprint Sensor, Stylus Supported, Windows 11 Home, Midnight Black, TN3604YA-DS51T",699,4,90 days FREE. Terms apply.,Ships to Bangladesh
Acer Chromebook 315 CB315-4HT CB315-4HT-C72W 15.6" Touchscreen Chromebook - Full HD - 1920 x 1080 - Intel Celeron N5100 Quad-core (4 Core) 1.10 GHz - 4 GB RAM - 32 GB Flash Memory - Pure Silver,396,7,90 days FREE. Terms apply.,Ships to Bangladesh
Lenovo ThinkPad L15 Gen 3 21C3004VUS 15.6" Notebook - Full HD - 1920 x 1080 - Intel Core i7 12th Gen i7-1255U Deca-core (10 Core) - 16 GB Total RAM - 512 GB SSD - Thunder Black,"1,273",1,90 days FREE. Terms apply.,Ships to Bangladesh
"HP Envy X360 15 FHD Touchscreen 2-in-1 Laptop, 2023 Newest Upgrade, Intel Core i5-1135G7, 32GB RAM, 1TB SSD, USB-C, Backlit Keyboard, FP Reader, Windows 11, School and Business Ready, ROKC HDMI Cable",859,"1,161",90 days FREE. Terms apply.,Ships to Bangladesh
"ASUS VivoBook 13 Slate OLED Steven Harrington Edition 2-in-1 Laptop, 13.3î FHD OLED Touch Display, Intel Pentium Silver N6000 CPU, 8GB RAM, 256GB SSD, Windows 11 Home, Black, T3300KA-DB26T-S",899,1,90 days FREE. Terms apply.,Ships to Bangladesh
Lenovo ThinkPad E15 Gen 4 21E6007FUS 15.6" Notebook - Full HD - 1920 x 1080 - Intel Core i5 12th Gen i5-1235U Deca-core (10 Core) - 8 GB Total RAM - 8 GB On-Board Memory - 256 GB SSD - Mineral,739,,90 days FREE. Terms apply.,Ships to Bangladesh
Intel NUC 10 Performance Mini PC - NUC10i3FNHJA,329,,90 days FREE. Terms apply.,Ships to Bangladesh
"AORUS Model X Gaming PC Computer Desktop (Intel i9-11900K, NVIDIA GeForce RTX 3080 GDDR6X 10GB, 16GB DDR4 RAM, 3TB M.2 SSD) - GB-AMXI9N8A-2051","3,399",,90 days FREE. Terms apply.,Ships to Bangladesh
"MSI PRO AP241Z AIO Desktop, 23.8"" FHD IPS-Grade LED, AMD Ryzen R5-5600G, 8GB' Memory (Dual-CHL), 250GB SSD, WiFi 6E, BT 5.2, Windows 11 PRO, 3-YR Warranty (5M-073US)",712,,90 days FREE. Terms apply.,Ships to Bangladesh
Lenovo Legion T5 26IAB7 90SU000CUS Gaming Desktop Computer - Intel Core i7 12th Gen i7-12700 Dodeca-core (12 Core) - 16 GB RAM DDR5 SDRAM - 1 TB HDD - 1 TB NVMe M.2 PCI Express PCI Express NVMe 4.0 x4,"1,349",,90 days FREE. Terms apply.,"Get it Tue, Jun 20 - Tue, Jun 27"
HP ProDesk 600 G9 Desktop Computer - Intel Core i5 12th Gen i5-12500 Hexa-core (6 Core) - 8 GB RAM DDR5 SDRAM - 256 GB M.2 PCI Express NVMe SSD - Small Form Factor,523,,90 days FREE. Terms apply.,Ships to Bangladesh
Lenovo 500e Chromebook Gen 3 82JB0000US LTE Advanced 11.6" Touchscreen Convertible 2 in 1 Chromebook - HD - 1366 x 768 - Intel Celeron N5100 Quad-core (4 Core) 1.10 GHz - 4 GB RAM - 32 GB Flash,438,,90 days FREE. Terms apply.,Ships to Bangladesh
"HP Stream 14inch HD(1366x768) Display, Intel Celeron N4000 Dual-Core Processor, 4GB RAM, 32GB eMMC, HDMI, WiFi, Webcam, Bluetooth, Win10 S, Royal Blue, 14-cb161wm (Renewed)","2,200",,90 days FREE. Terms apply.,Ships to Bangladesh
Dell Latitude 7000 7430 14" Touchscreen Convertible 2 in 1 Notebook - Full HD - 1920 x 1080 - Intel Core i7 12th Gen i7-1265U Deca-core (10 Core) 1.80 GHz - Intel Evo Platform - 16 GB Total RAM - 16,449,,90 days FREE. Terms apply.,Ships to Bangladesh
"MSI Cubi 5 12M, 0.7L Mini PC, Intel Core i5-1235U, WiFi 6, BT 5.2, Duel LAN, Thunderbolt Type C, Black, Non-OS (12M-015BUS): Cubi 5 (BLK)","1,872",,90 days FREE. Terms apply.,"Get it Tue, Jun 27 - Mon, Jul 10"
Acer Predator Helios 300 PH315-54 PH315-54-70EH 15.6" Gaming Notebook - QHD - 2560 x 1440 - Intel Core i7 11th Gen i7-11800H Octa-core (8 Core) 2.40 GHz - 16 GB RAM - 1 TB SSD,337,,90 days FREE. Terms apply.,Ships to Bangladesh
Dell Education Chromebook 3000 3110 11.6" Touchscreen Chromebook - HD - 1366 x 768 - Intel Celeron N4500 Dual-core (2 Core) 1.10 GHz - 4 GB Total RAM - 32 GB Flash Memory - Intel Chip - Chrome OS,519,,90 days FREE. Terms apply.,Ships to Bangladesh
MSI MOD1512433 15.6" I3-1215U/8G/512/IRIS/W11H Laptop,418,,90 days FREE. Terms apply.,Ships to Bangladesh
"ASUS VivoBook Go 14 Flip Thin and Light 2-in-1 Laptop, 14"" FHD Touch, Intel Celeron N4500 CPU, UHD Graphics, 4GB RAM, 128GB eMMC, Fingerprint, Windows 11 Home in S Mode, Quiet Blue,  J1400KA-DS04T",740,,90 days FREE. Terms apply.,Ships to Bangladesh
Dell OptiPlex 3000 Thin ClientIntel Celeron N5105 Quad-core (4 Core) 2 GHz,"1,279",,90 days FREE. Terms apply.,Ships to Bangladesh
HP Z2 G9 Workstation - 1 x Intel Core i5 Hexa-core (6 Core) i5-12500 12th Gen 3 GHz - 16 GB DDR5 SDRAM RAM - 512 GB SSD - Tower - Black,548,,90 days FREE. Terms apply.,Ships to Bangladesh
"OnePlus Pad 11.61"" LCD Display, 8GB RAM,128GB Storage, MediaTek Dimensity 9000, Android 13.1, 144HZ Refresh Rate, Dolby Vision Atmos, Wi-Fi with Cellular Data Sharing Tablet",479,2,90 days FREE. Terms apply.,Ships to Bangladesh
"ASUS PN41 Fanless MiniPC Barebone with Intel 11th gen Quad Core Celeron N5100, Support Dual 4K, Dual LAN, WiFi, Bluetooth 5, Hardware TPM, VESA Mount",169,6,90 days FREE. Terms apply.,Ships to Bangladesh
Dell OptiPlex 3000 Thin ClientIntel Pentium Silver N6005 Quad-core (4 Core) 2 GHz - Black,596,103,90 days FREE. Terms apply.,Ships to Bangladesh
"ASUS ProArt Station PD5 prebuilt Desktop, Intel Core i7 Processor, 32GB DDR4, 1TB PCIe SSD, Nvidia RTX 3070, Windows 11 Home, PD500TC-PH778, Black","1,999",5,90 days FREE. Terms apply.,Ships to Bangladesh
"HP 2022 Newest 15 15.6"" Laptop Computer, Intel Core i3 1115G4 up to 3.2GHz (Beat i5-10210U), 8GB DDR4 RAM, 256GB PCIe SSD, WiFi 6, Bluetooth, Natural Silver, Windows 11 S, BROAG 64GB Flash Drive",882,4,90 days FREE. Terms apply.,Ships to Bangladesh
Acer Nitro 50 N50-640-UR12 Gaming Desktop | 12th Gen Intel Core i5-12400F 6-Core Processor | NVIDIA GeForce RTX 3060 | 16GB 3200MHz DDR4 | 512GB SSD | 1TB HDD | Intel Wi-Fi 6E AX211 | Windows 11 Home,"1,198",54,90 days FREE. Terms apply.,Ships to Bangladesh
Acer TravelMate P6 P614-52 TMP614-52-73EJ 14" Notebook - WUXGA - 1920 x 1200 - Intel Core i7 11th Gen i7-1165G7 Quad-core (4 Core) 2.80 GHz - 16 GB RAM - 1 TB SSD - Galaxy Black,"1,435",22,90 days FREE. Terms apply.,Ships to Bangladesh
Lenovo ThinkBook 14s Yoga G2 IAP 21DM003LUS 14" Touchscreen Notebook - Full HD - 1920 x 1080 - Intel Core i5 12th Gen i5-1235U Deca-core (10 Core) - 8 GB Total RAM - 8 GB On-Board Memory - 256 GB SSD,943,21,90 days FREE. Terms apply.,Ships to Bangladesh
Lenovo Ideapad Premium 17.3 HD+ LED Backlight Laptop Bundle Woov Accessory | AMD Ryzen 7 3700U | 12GB DDR4 | 512GB SSD+1TB HDD | Media Card Reader | AMD Radeon Vega 10 | Windows 10 | Platinum Gray,751,3,90 days FREE. Terms apply.,Ships to Bangladesh
"Acer Spin 5 Convertible Laptop, 13.5"" 2256 x 1504 IPS Touch | 10th Gen Intel Core i5-1035G4 | 8GB LPDDR4 | 256GB NVMe SSD | WiFi 6 | Backlit KB | FPR | Active Stylus | Windows 10 Pro | SP513-54N-58XD","1,099",70,90 days FREE. Terms apply.,Ships to Bangladesh
Lenovo ThinkBook 15 G4 IAP 21DJ00G5US 15.6" Touchscreen Notebook - Full HD - 1920 x 1080 - Intel Core i7 12th Gen i7-1255U Deca-core (10 Core) 1.70 GHz - 16 GB Total RAM - 8 GB On-Board Memory - 512,"1,007",462,90 days FREE. Terms apply.,"Get it Mon, Jul 3 - Tue, Jul 25"
HP SBUY Elite 800 G8 DM I511500T/8GB/256GB,922,1,90 days FREE. Terms apply.,Ships to Bangladesh
"2022 HP Pavilion 17 Laptop Computer, Intel Core i3-1115G4(Beat i5-8250U), 16GB RAM, 256GB PCIe SSD, 17.3 FHD IPS Screen, Wi-Fi, Webcam, Bluetooth, Long Battery Life, Windows 11, ROKC MP(Lastest Model)",589,1,90 days FREE. Terms apply.,Ships to Bangladesh
Acer Aspire 3 17.3" HD+ Laptop|Intel Core I3-1115G4|8GB RAM|256GB SSD|11th Gen Intel Core I3|Intel Uhd Graphics|Windows 11 Home|Silver|Webcam Widescreen Display|EAT Mouse Pad,399,,90 days FREE. Terms apply.,Ships to Bangladesh
MSI Pulse GL66 15.6" FHD Gaming Laptop Intel Core i5-11400H RTX3050 8GB 512GBNVMe SSD Win11 - Gray (11UCK-1250),949,,90 days FREE. Terms apply.,Ships to Bangladesh
Dell Chromebook 11 3000 3100 11.6" Touchscreen Convertible 2 in 1 Chromebook - HD - 1366 x 768 - Intel Celeron N4020 Dual-core (2 Core) 1.10 GHz - 8 GB RAM - 32 GB Flash Memory - Black,621,,90 days FREE. Terms apply.,Ships to Bangladesh
HP Elite Dragonfly Chromebook Core i5-1235U 8GB 128GB SSD ax BT FR WC 13.5" QHD+ MT Chrome Ent OS,"1,346",,90 days FREE. Terms apply.,Ships to Bangladesh
AWOW 10.1 Inch Windows 10 Tablet 2-in-1 Touchscreen Mini Laptop with Detachable Keyboard/IPS 1280x800 /4GB RAM /32GB ROM/Dual Webcam/Bluetooth 4.2/WiFi/HDMI/Micro SD,219,,90 days FREE. Terms apply.,Ships to Bangladesh
HP Dragonfly Folio G3 13.5" Touchscreen Convertible 2 in 1 Notebook - WUXGA+ - 1920 x 1280 - Intel Core i7 12th Gen i7-1255U Deca-core (10 Core) 1.70 GHz - 32 GB Total RAM - 32 GB On-Board Memory -,"2,378",,90 days FREE. Terms apply.,Ships to Bangladesh
"HP 2023 15'' HD IPS Laptop, Windows 11, Intel Celeron Processor Up to 2.80GHz, 8GB RAM, 128GB SSD, HDMI, Super-Fast 6th Gen WiFi (Renewed)",269,,90 days FREE. Terms apply.,Ships to Bangladesh
"HP Stream 14-inch Laptop, Intel Celeron N4000, 4 GB RAM, 64 GB eMMC, Windows 10 Home in S Mode With Office 365 Personal For 1 Year (14-cb187nr, Diamond White)",228,,90 days FREE. Terms apply.,Ships to Bangladesh
"MSI Summit E13 Flip EVO Professional Laptop: 13"" IPS-Level Touch Screen, Intel core i5-1135G7, Iris Xe, 16GB RAM, 512GB NVMe SSD, Win10 PRO, Ink Black (A11MT-095)","1,126",,90 days FREE. Terms apply.,Ships to Bangladesh
HP EliteBook 655 G9 15.6" Notebook - Full HD - 1920 x 1080 - AMD Ryzen 5 PRO 5675U Hexa-core (6 Core) 2.30 GHz - 16 GB Total RAM - 512 GB SSD,"1,144",,90 days FREE. Terms apply.,Ships to Bangladesh
HP EliteOne 800 G6 All-in-One Computer - Intel Core i7 10th Gen i7-10700 Octa-core (8 Core) 2.90 GHz - 16 GB RAM DDR4 SDRAM - 256 GB NVMe M.2 PCI Express SSD - 23.8" Full HD 1920 x 1080 - Desktop,"1,384",,90 days FREE. Terms apply.,Ships to Bangladesh
"OnePlus Pad 11.61"" LCD Display, 8GB RAM,128GB Storage, MediaTek Dimensity 9000, Android 13.1, 144HZ Refresh Rate, Dolby Vision Atmos, Wi-Fi with Cellular Data Sharing Tablet",479,29,90 days FREE. Terms apply.,Ships to Bangladesh
HP ZBook Fury G9 16" Mobile Workstation - WUXGA - 1920 x 1200 - Intel Core i7 12th Gen i7-12800HX Hexadeca-core (16 Core) - 32 GB Total RAM - 1 TB SSD,"2,628",315,90 days FREE. Terms apply.,Ships to Bangladesh
Lenovo 500e Chromebook Gen 3 82JB0001US 11.6" Touchscreen Rugged 2 in 1 Chromebook - HD - 1366 x 768 - Intel Celeron N5100 Quad-core (4 Core) 1.10 GHz - 4 GB RAM - 32 GB Flash Memory - Gray - Int,404,1,90 days FREE. Terms apply.,Ships to Bangladesh
"ASUS Vivobook S 16 Flip 16î WUXGA Touch, AMD Ryzen 7 7730U CPU, AMD Radeon Vega 7 Graphics, 8GB RAM, 1TB SSD, Fingerprint Sensor, Stylus Supported, Windows 11 Home, Midnight Black, TN3604YA-DS74T",899,3,90 days FREE. Terms apply.,Ships to Bangladesh
"HP 11-v010wm 11.6"" Chromebook, Chrome, Intel Celeron N3060 Processor, 4GB RAM, 16GB eMMC Drive",139,164,90 days FREE. Terms apply.,Ships to Bangladesh
Samsung Galaxy Tab E Lite 7.0in 8GB Wi-Fi (White) (Renewed),106,30,90 days FREE. Terms apply.,Ships to Bangladesh
"Acer Chromebook Spin 513 R841T R841T-S5VA 13.3"" Yes 2 in 1 Chromebook - Full HD - 1920 x 1080 - Qualcomm Kryo 468 Octa-core (8 Core) 2.4GHz - 8GB RAM - 64GB Flash Memory,Black",431,11,90 days FREE. Terms apply.,Ships to Bangladesh
Lenovo ThinkBook 14 G4 ABA 21DK004YUS 14" Notebook - Full HD - 1920 x 1080 - AMD Ryzen 5 5625U Hexa-core (6 Core) 2.30 GHz - 16 GB Total RAM - 8 GB On-Board Memory - 256 GB SSD - Mineral Gray,773,2,90 days FREE. Terms apply.,Ships to Bangladesh
"Skytech Archangel 3.0 Gaming PC Desktop ñ Intel Core i5 12600KF 3.7 GHz, RTX 3070, 1TB NVME SSD, 16G DDR4 3200, 650W Gold PSU, AC Wi-Fi, Windows 11 Home 64-bit","1,311",30,90 days FREE. Terms apply.,Ships to Bangladesh
"Visual Land Tablet 10 Inch Android 11 Tablets, Prestige Elite 10QH Android 11 10.1 Inch HD IPS Tablet, 32GB Storage, 2GB RAM, Quad-Core Processor, with Protective Bumper Case - Black (2022 Release)",103,1,90 days FREE. Terms apply.,Ships to Bangladesh
"Skytech Chronos Gaming PC Desktop ñ AMD Ryzen 5 5600X 3.7 GHz, RTX 3070, 1TB NVME SSD, 16G DDR4 3200, 650W GOLD PSU, AC Wi-Fi, Windows 10 Home 64-bit","1,699",2,90 days FREE. Terms apply.,Ships to Bangladesh
"HP 2022 15.6"" FHD Laptop Computer, AMD Ryzen 5-5500U Processor(Beats Intel i7-1065G7), 8GB RAM, 256GB PCIe SSD, AMD Radeon Graphics, HD Webcam, Bluetooth, Wi-fi, Win 11, Blue, 32GB USB Card",458,9,90 days FREE. Terms apply.,Ships to Bangladesh
Dell Latitude 7000 7530 15.6" Notebook - Full HD - 1920 x 1080 - Intel Core i7 12th Gen i7-1270P Dodeca-core (12 Core) 2.20 GHz - 16 GB Total RAM - 16 GB On-Board Memory - 512 GB SSD - Carbon Fiber -,"1,956",,90 days FREE. Terms apply.,Ships to Bangladesh
Acer Aspire C24-1700-UR11 AIO Desktop | 23.8" Full HD IPS Display | 12th Gen Intel Core i3-1215U | Intel UHD Graphics | 8GB DDR4 | 256GB NVMe M.2 SSD | Intel Wireless Wi-Fi 6 | Windows 11 Home,649,,90 days FREE. Terms apply.,Ships to Bangladesh
"Acer Travelmate Spin P4, 14"" Full HD Touch, Intel i5-1135G7, 8GB DDR4, 512GB NVMe SSD, Thunderbolt 4, Intel Wi-Fi 6 AX201, Rechargeable Active, Fingerprint Reader, Win 10 Pro, TMP414RN-51-54JZ",933,,90 days FREE. Terms apply.,Ships to Bangladesh
"Corsair ONE a200 Compact Gaming PC - AMD Ryzenô 9 5900X CPU - NVIDIAÆ GeForce RTXô 3080 Graphics - 32GB Vengeance LPX DDR4 Memory, 1TB, Windows 10 Home","2,547",,90 days FREE. Terms apply.,Ships to Bangladesh
Dell Latitude 5400 Chrome CEL_2-4305U 4GB 64GB SS NT 1366x768 Chrome OS WLS 3C 14.0in,336,,90 days FREE. Terms apply.,Ships to Bangladesh
Lenovo ThinkPad L15 Gen 3 21C30050US 15.6" Touchscreen Notebook - Full HD - 1920 x 1080 - Intel Core i5 12th Gen i5-1235U Deca-core (10 Core) - 8 GB Total RAM - 256 GB SSD - Thunder Black,"1,037",,90 days FREE. Terms apply.,Ships to Bangladesh
"ASUS Chromebook Enterprise Flip CX3, 14"" FHD Touchscreen, Intel Core i7-1160G7, 512GB SSD, 16GB RAM, Backlit Keyboard, Wi-Fi 6, Chrome OS w Chrome Enterprise Upgrade, CX3400FMA-GE762T-S","1,179",,90 days FREE. Terms apply.,Ships to Bangladesh
HP Pro Mini 400 G9 Desktop Computer - Intel Core i5 12th Gen i5-12500T Hexa-core (6 Core) 2 GHz - 8 GB RAM DDR4 SDRAM - 512 GB M.2 PCI Express NVMe 4.0 x4 SSD - Mini PC - Black,924,,90 days FREE. Terms apply.,Ships to Bangladesh
HP EliteBook x360 830 G9 13.3" Touchscreen Convertible 2 in 1 Notebook - WUXGA - 1920 x 1200 - Intel Core i5 12th Gen i5-1235U Deca-core (10 Core) - 16 GB Total RAM - 256 GB SSD,"1,603",,90 days FREE. Terms apply.,Ships to Bangladesh
"Body Glove Seaside Waterproof Floatable Backpack-White, One Size",56,,90 days FREE. Terms apply.,Ships to Bangladesh
Core Innovations 14.1î Laptop with Windows 10 Home in S Mode - Red,149,,90 days FREE. Terms apply.,Ships to Bangladesh
Lenovo ThinkCentre M70q Gen 3 11T300A4US Desktop Computer - Intel Core i5 12th Gen i5-12400T Hexa-core (6 Core) 1.80 GHz - 16 GB RAM DDR4 SDRAM - 256 GB NVMe M.2 PCI Express PCI Express NVMe 4.0 SSD -,872,,90 days FREE. Terms apply.,Ships to Bangladesh
"OnePlus Pad 11.61"" LCD Display, 8GB RAM,128GB Storage, MediaTek Dimensity 9000, Android 13.1, 144HZ Refresh Rate, Dolby Vision Atmos, Wi-Fi with Cellular Data Sharing Tablet",479,1,90 days FREE. Terms apply.,Ships to Bangladesh
Dell OptiPlex 5000 Desktop Computer - Intel Core i5 12th Gen i5-12500 Hexa-core (6 Core) 3 GHz - 16 GB RAM DDR4 SDRAM - 256 GB M.2 PCI Express NVMe 3.0 x4 SSD - Small Form Factor - Black,979,16,90 days FREE. Terms apply.,Ships to Bangladesh
GIGABYTE U4 UD - 14.0" Thin Bezel FHD IPS-Level i5-1155G7 Intel Iris Xe Graphics 512 GB PCIe SSD Win 11 Home Laptop (U4 UD-50US823SO),950,23,90 days FREE. Terms apply.,Ships to Bangladesh
ASUS Chromebook C403NA-YS02 14.0 inch Intel Celeron N3350 1.1GHz/ 4GB LPDDR4/ 32GB eMMC/ USB3.1/ Chrome OS Notebook (Dark Grey),300,4,90 days FREE. Terms apply.,Ships to Bangladesh
MSI GF63 15.6" 144hz Gaming Laptop Intel Core i7-11800H RTX 3050 16GB 512GB NVMe SSD Win11 (11UC-262),"1,056",3,90 days FREE. Terms apply.,Ships to Bangladesh
"Skytech Prism II Gaming PC Desktop ñ AMD Ryzen 9 3900X 3.8 GHz, RTX 3090, 1TB NVME Gen4 SSD, 32G DDR4 3600 RGB, 850W Gold PSU, 360mm AIO, AC Wi-Fi, Windows 10 Home 64-bit (Renewed Premium)","3,199",8,90 days FREE. Terms apply.,Ships to Bangladesh
Lenovo ThinkPad P14s Gen 3 21AK0029US 14" Touchscreen Mobile Workstation - 3840 x 2400 - Intel Core i7 12th Gen i7-1280P 1.80 GHz - 32 GB Total RAM - 1 TB SSD - Black,"2,624",6,90 days FREE. Terms apply.,"Get it Thu, Jun 22 - Wed, Jul 5"
